Model,Accuracy,Macro F1,RMSE,R²
Random Forest,0.8688524590163934,0.869170913474711,0.47907013758040845,0.6540058746075155
XGBoost,0.8688524590163934,0.8686173264486517,0.47907013758040845,0.6540058746075155
Logistic Regression,0.860655737704918,0.8614433811802233,0.4616435357484827,0.6787197407069787
KNN,0.7622950819672131,0.7629452795702937,0.6954182607446033,0.2709409500658362
Neural Network,0.6967213114754098,0.695172861475786,0.8046993125426152,0.023802289071204408
